Comment,Designator,Footprint,LCSC Part #
Ferrite Bead,FB1,F0805,C85840
0.1uF, C1 C2 C3,C0805,C49678
0.1uF,C5 C7 C20,DISCRETE_C0603,C14663
1K,R3 R21,R0402,C106235
ST3422A,Q1,SOT-23,C2682907
10K,R6 R7 R8,_0402,C25531 
10uF,C4 C6,C1206,C13585
24V 300mA,F2,1206L,C70073
100R,R2,R0402,C25076
430Ω / 4300Ω 0.1%,R1,0805-NO,C318148
B5819W,D4,SOD123FL,C64885
MAX31865,U1,QFN20_4MM_0.65MM,C118474
WHITE,D1,CHIP-LED0603,C83904
WS2812-2020,U2,LED_WS2812-2020,C965555
B4B-XH-A(LF)(SN),J2,JST XH 4P,C2908602
B2B-XH-A_(LF)(SN),J3,JST XH 2P,C158012 
