Comment,Designator,Footprint,LCSC Part #
0.1uF, C1 C2 C8 C13 C14 C15 C18 C20 C30 C31 C34,C0603,C14663
0.47uF,C33,C0603,C513577
5.1k,R5 R7,R0603,C2907044
10K,R9 R16 R22 R25 R28 R33 R34,R0603,C98220
10uF,C3 C4 C16 C19 C22 C32 C35,C1206,C454102
12MHz,XTAL2,CRYSTAL_3.2X2.5,C5280582
22P,C28 C29,C0603,C105620
68uH,L5,CD75,C5289451 
100K,R46 R61,R0603,C14675
220uF,C5 C17 C36,6.3mm SMD,C7471881
AP2114H-3.3TRG1,IC5,SOT223,C150716
CH376S,IC2,CH376S-SOIC,C14166
ESP32S3WROOM1N8R8,U3,XCVR_ESP32S3WROOM1N8R8,C2913204
MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,BOOT RESET,TACTILE_SWITCH_SMD_6.0X3.5MM,C118141 
SMF05C,D1,SOT363,C15879
SN74LV1T08,IC3,SOT23-5,C130199
SS34,D2 D3 D13,DO-214AC,C8678
USB-C-Socket,J6,USB-C-16P,C2765186
WS2812-2020,U1,LED_WS2812-2020,C965555
XL1509-5.0,IC1,SO08,C61063
m.2 e key socket,EXP1 EXP2,M.2-CONNECTOR-E-3MM HEIGHT,C3020019
REFLOW NUT M2.5,H2 H4,SMTSOM330BTR M3 THREAD 3MM HEIGHT,C5221843
SD CARD SOCKET,SD1,CONN MICRO SD CARD (TF CARD) SMD,C91145
DB2EVC-3.81-4P-GN,J5,"Green Straight Pin Plugin,P=3.81mm Pluggable System Terminal Block ROHS ",C8410 
B4B-XH-A(LF)(SN),J4 J1,XH-4A ,C2908602
USB-A VERTICAL,J3,USB-A VERTICAL,C456015
