Designator,Mid X,Mid Y,Layer,Rotation
BOOT,30.9,4.7,Top,90
C1,4.1,19.4,Top,180
C2,10.9,20,Top,270
C3,27.2,51.2,Top,0
C4,3.6,40.8,Top,0
C5,27.6,56.4,Top,0
C8,3.8,26.8,Top,0
C13,39.8,7.5,Top,270
C14,3.8,31.8,Top,180
C15,3.8,37.7,Top,180
C16,57.8,56.2,Top,90
C17,52.38,56.24,Top,0
C18,4.1,21.5,Top,0
C19,72,56.3,Top,90
C20,3.6,34.9,Top,0
C22,69.3,56.3,Top,90
C28,30.2,20.2,Top,90
C29,36.9,20.2,Top,270
C30,39.1,42.7,Top,180
C31,8.1,5.3,Top,0
C32,39.4,47.8,Top,90
C33,28,38.7,Top,270
C34,28,26.8,Top,270
C35,33.1,42.7,Top,180
C36,41.3,56.2,Top,0
D1,21.7,19.7,Top,270
D2,27.7,45.8,Top,270
D3,46.8,56,Top,90
D13,3.3,44.5,Top,180
EXP1,75,41.5,Top,90
EXP2,75,18.5,Top,90
IC1,34.4,55.9,Top,0
IC2,34.8,31.7,Top,0
IC3,26.2,20,Top,270
IC5,63.6,56.2,Top,270
J6,7.8,11.6,Top,270
L5,33.9,47.9,Top,270
R5,9.8,9.2,Top,90
R7,4.2,24.4,Top,180
R9,15.3,20,Top,90
R16,34,9.4,Top,90
R22,27.9,9,Top,90
R25,3.8,29.4,Top,180
R28,8.4,20,Top,90
R33,12.9,20,Top,90
R34,17.7,20,Top,90
R46,28,33.7,Top,270
R61,39.5,20.2,Top,270
RESET,36.9,4.7,Top,90
SD1,16,16.7,Top,270
U1,8.9,1.8,Top,180
U3,16.3,36.2,Top,0
XTAL2,33.5,20.2,Top,0
H4,44.5,26,Top,0
H2,44.5,49,Top,0
J5,15.3,54.7,Top,180
j4,34.5,14.1,Top,0
j3,53.3,2.7,Top,180
j1,66.8,3.8,Top,0
